estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude,pickup_hex8,dropoff_hex8,pickup_centroid_lat,pickup_centroid_lon,dropoff_centroid_lat,dropoff_centroid_lon
23.78364881,90.37716385,23.73614458,90.40989566,883cf10cd5fffff,883cf1765dfffff,23.783060858146122,90.38099164182705,23.737774569388762,90.40681146990367
23.860803,90.399283,23.81536735,90.42631286,883cf105b9fffff,883cf13b03fffff,23.86405178703082,90.40058395653175,23.81879577278778,90.42640952294214
23.90914344,90.40446069,23.8399888,90.45495705,883cf104e7fffff,883cf13a27fffff,23.908437236548433,90.40344901824771,23.840284943738624,90.45175572954697
23.86913732,90.38889952,23.91306114,90.39940037,883cf10581fffff,883cf104e1fffff,23.871874347009527,90.38671480562255,23.915974300013207,90.39914358079706
23.808492,90.356278,23.677887,90.516562,883cf10ebdfffff,883cf174d7fffff,23.805976192171585,90.3585182372632,23.67502194089837,90.51771396619021
23.7771964,90.3571038,23.79945,90.35416,883cf10cc5fffff,883cf10ea3fffff,23.7763634986377,90.3566135570256,23.798714458563694,90.35326159654097
23.77074988,90.36591735,23.87407687,90.39821114,883cf10c8dfffff,883cf10583fffff,23.76853540374634,90.3704776445445,23.871591946988044,90.39627913509784
27.68620605,85.29345073,27.6984693,85.3082002,883c029925fffff,883c02993dfffff,27.683708425090458,85.28955946340041,27.698098625456993,85.3091783736834
27.65193763,85.31675711,27.65905175,85.29949757,883c02d6e3fffff,883c02d6edfffff,27.65588156032515,85.31657764906521,27.655609444858083,85.297648342892
27.66150359,85.31382713,27.7030359,85.3227893,883c02d6ebfffff,883c02993bfffff,27.662874000051477,85.31218947473653,27.7053607030419,85.32372306870651
27.6759736,85.39237093,27.7097021,85.3477686,883c028b43fffff,883c0299ebfffff,27.678062510079556,85.3886217733988,27.712756513624086,85.34773851503705
27.66181274,85.30295604,27.743041,85.312478,883c02d6e9fffff,883c02995bfffff,27.662737771806825,85.30272455987955,27.740432052555537,85.31124468908719
28.2015055,83.972012,28.19505557,83.99108174,883c33b5b5fffff,883c33a751fffff,28.202273433925978,83.96819898303178,28.195902037129166,83.99201305067665
